timestamp,user_id,session_id,domain,action_type,entity_id,response_time_ms,device_type,account_type,transaction_type,channel,risk_score,amount_involved,branch_code
2025-09-19 18:53:39,U007,S0406,banking,fund_transfer,ban_110,111,desktop,current,credit,ATM,2,159501,MB98
2025-11-09 07:03:39,U011,S0382,banking,view_transaction,ban_10,280,desktop,credit,inquiry,ATM,8,7243,MB98
2025-10-02 19:36:39,U005,S0347,banking,inquiry,ban_253,346,desktop,credit,inquiry,ATM,10,84203,BN12
2025-11-04 16:39:39,U025,S0485,banking,check_balance,ban_137,281,mobile,savings,credit,net_banking,5,146057,MB98
2025-11-09 13:27:39,U008,S0183,banking,fund_transfer,ban_8,347,mobile,savings,debit,net_banking,5,186540,DL33
2025-10-14 05:41:39,U022,S0271,banking,view_transaction,ban_36,125,desktop,savings,debit,mobile_app,8,105533,MB98
2025-09-19 03:07:39,U006,S0438,banking,check_balance,ban_39,318,desktop,savings,inquiry,net_banking,5,101867,BN12
2025-09-26 20:34:39,U028,S0484,banking,inquiry,ban_2,115,tablet,current,debit,ATM,6,42665,DL33
2025-11-02 22:59:39,U011,S0134,banking,view_transaction,ban_147,233,desktop,savings,credit,mobile_app,2,72548,MB98
2025-10-13 20:12:39,U002,S0385,banking,inquiry,ban_195,363,desktop,current,credit,ATM,9,24621,DL33
2025-10-14 14:14:39,U028,S0001,banking,fund_transfer,ban_15,204,mobile,savings,debit,net_banking,10,101077,MB98
2025-10-24 11:24:39,U020,S0159,banking,fund_transfer,ban_135,342,tablet,credit,credit,net_banking,8,105669,MB98
2025-09-28 08:37:39,U017,S0479,banking,view_transaction,ban_130,140,mobile,savings,credit,mobile_app,2,60315,BN12
2025-09-28 06:38:39,U022,S0116,banking,check_balance,ban_252,228,tablet,credit,debit,net_banking,10,7641,MB98
2025-09-22 11:52:39,U017,S0232,banking,fund_transfer,ban_10,319,mobile,current,credit,net_banking,9,193073,BN12
2025-09-18 00:58:39,U011,S0122,banking,inquiry,ban_249,338,desktop,current,inquiry,net_banking,2,154874,DL33
2025-10-07 09:34:39,U011,S0254,banking,view_transaction,ban_80,102,tablet,credit,debit,net_banking,3,165514,MB98
2025-10-06 11:44:39,U018,S0129,banking,check_balance,ban_154,257,desktop,credit,credit,net_banking,2,20717,DL33
2025-11-05 07:30:39,U023,S0122,banking,fund_transfer,ban_164,205,tablet,current,credit,ATM,6,12722,MB98
2025-09-22 02:11:39,U006,S0380,banking,fund_transfer,ban_240,113,tablet,credit,inquiry,ATM,1,176052,BN12
2025-10-16 09:42:39,U028,S0173,banking,fund_transfer,ban_35,343,mobile,current,inquiry,mobile_app,4,62456,DL33
2025-09-18 23:24:39,U010,S0124,banking,view_transaction,ban_45,230,desktop,current,credit,net_banking,7,146361,MB98
2025-09-26 08:43:39,U021,S0012,banking,view_transaction,ban_197,151,mobile,savings,credit,net_banking,10,98142,DL33
2025-09-16 00:12:39,U001,S0462,banking,view_transaction,ban_22,90,mobile,current,debit,ATM,4,45024,MB98
2025-10-04 05:21:39,U002,S0497,banking,inquiry,ban_285,57,tablet,savings,debit,net_banking,10,189090,DL33
2025-09-18 02:06:39,U017,S0216,banking,view_transaction,ban_106,301,tablet,savings,inquiry,mobile_app,5,52464,MB98
2025-09-27 06:45:39,U014,S0096,banking,inquiry,ban_272,196,tablet,credit,debit,ATM,8,46152,DL33
2025-09-17 19:20:39,U007,S0091,banking,check_balance,ban_35,334,desktop,current,inquiry,ATM,5,74909,MB98
2025-10-01 22:05:39,U009,S0496,banking,inquiry,ban_40,100,tablet,credit,credit,ATM,2,70388,BN12
2025-11-06 01:01:39,U026,S0078,banking,check_balance,ban_80,205,desktop,credit,debit,ATM,6,15460,DL33
2025-09-13 14:40:39,U007,S0497,banking,inquiry,ban_101,45,tablet,savings,credit,ATM,10,7896,DL33
2025-10-12 22:28:39,U008,S0005,banking,inquiry,ban_123,384,desktop,credit,debit,ATM,9,156954,BN12
2025-11-02 21:19:39,U010,S0276,banking,inquiry,ban_283,324,mobile,current,inquiry,mobile_app,2,26197,BN12
2025-10-10 17:34:39,U015,S0242,banking,inquiry,ban_117,160,mobile,credit,credit,mobile_app,6,129669,BN12
2025-10-14 10:58:39,U007,S0148,banking,view_transaction,ban_124,102,mobile,credit,inquiry,net_banking,10,144151,MB98
2025-10-03 13:32:39,U009,S0439,banking,check_balance,ban_249,356,mobile,savings,credit,net_banking,7,113942,MB98
2025-09-14 14:23:39,U027,S0379,banking,view_transaction,ban_145,111,tablet,current,inquiry,mobile_app,6,24924,MB98
2025-10-14 16:48:39,U012,S0365,banking,check_balance,ban_105,151,desktop,savings,inquiry,ATM,6,89310,MB98
2025-09-15 15:07:39,U023,S0418,banking,check_balance,ban_202,175,desktop,credit,debit,ATM,3,156893,DL33
2025-10-15 08:14:39,U030,S0009,banking,inquiry,ban_22,201,desktop,savings,debit,ATM,2,135931,DL33
2025-09-28 22:12:39,U026,S0466,banking,fund_transfer,ban_44,224,tablet,current,credit,net_banking,3,94063,DL33
2025-09-23 11:25:39,U002,S0307,banking,fund_transfer,ban_224,256,mobile,savings,inquiry,mobile_app,2,54835,DL33
2025-11-04 02:14:39,U004,S0196,banking,view_transaction,ban_164,148,tablet,credit,inquiry,ATM,9,54682,MB98
