timestamp,user_id,session_id,domain,action_type,entity_id,response_time_ms,device_type,product_category,price,cart_value,user_membership,referral_source,stock_available
2025-09-27 23:38:39,U008,S0064,ecommerce,view_product,eco_209,221,tablet,fashion,24719,25515,gold,instagram,yes
2025-10-15 12:22:39,U030,S0113,ecommerce,add_to_cart,eco_13,236,tablet,electronics,37317,7252,silver,google,no
2025-10-04 04:54:39,U026,S0375,ecommerce,checkout,eco_92,286,tablet,grocery,45489,6204,platinum,google,no
2025-09-25 17:41:39,U018,S0278,ecommerce,add_to_cart,eco_155,395,mobile,home_appliances,40301,74373,silver,google,no
2025-10-19 00:04:39,U026,S0141,ecommerce,view_product,eco_200,361,mobile,fashion,34504,70585,platinum,email,yes
2025-10-12 12:59:39,U013,S0150,ecommerce,view_product,eco_121,400,tablet,fashion,3609,64547,gold,instagram,yes
2025-11-12 13:11:39,U007,S0024,ecommerce,view_product,eco_4,387,tablet,home_appliances,35144,82532,gold,google,yes
2025-09-28 01:35:39,U003,S0001,ecommerce,view_product,eco_267,150,mobile,grocery,2712,66118,platinum,google,no
2025-09-14 10:04:39,U003,S0105,ecommerce,checkout,eco_234,113,desktop,electronics,44126,72093,gold,email,no
2025-10-08 07:31:39,U022,S0079,ecommerce,checkout,eco_77,322,desktop,electronics,47233,57980,silver,instagram,no
2025-09-30 06:24:39,U012,S0178,ecommerce,search_product,eco_186,107,desktop,fashion,6348,79825,gold,email,yes
2025-09-27 10:50:39,U020,S0310,ecommerce,view_product,eco_277,312,desktop,electronics,37123,12442,silver,direct,yes
2025-09-19 18:47:39,U027,S0393,ecommerce,add_to_cart,eco_20,175,desktop,home_appliances,29667,947,silver,google,yes
2025-11-04 04:27:39,U006,S0095,ecommerce,search_product,eco_60,317,mobile,electronics,28762,21943,gold,direct,yes
2025-10-21 08:25:39,U025,S0349,ecommerce,add_to_cart,eco_212,277,desktop,fashion,15044,16238,platinum,google,yes
2025-09-22 23:57:39,U013,S0196,ecommerce,view_product,eco_192,369,desktop,electronics,33434,10927,silver,direct,no
2025-09-14 23:45:39,U028,S0123,ecommerce,view_product,eco_269,319,mobile,grocery,28369,54360,gold,direct,no
2025-10-14 23:13:39,U010,S0025,ecommerce,search_product,eco_249,193,mobile,grocery,19155,16148,silver,instagram,yes
2025-10-05 22:37:39,U022,S0473,ecommerce,view_product,eco_248,156,mobile,grocery,48319,2964,silver,direct,yes
2025-10-15 07:50:39,U002,S0277,ecommerce,add_to_cart,eco_221,121,desktop,grocery,32866,39127,gold,google,no
2025-10-05 07:44:39,U010,S0305,ecommerce,view_product,eco_281,387,desktop,home_appliances,47323,36133,platinum,email,yes
2025-10-27 23:31:39,U023,S0030,ecommerce,search_product,eco_151,186,mobile,electronics,7849,13447,silver,google,no
